NameWithOwner,Stars,Description
thingsboard/thingsboard,13091,"Open-source IoT Platform - Device management, data collection, processing and visualization."
google/tink,13005,"Tink is a multi-language, cross-platform, open source library that provides cryptographic APIs that are secure, easy to use correctly, and hard(er) to misuse."
lionsoul2014/ip2region,12861,"Ip2region (2.0 - xdb) is a offline IP address manager framework and locator, support billions of data segments, ten microsecond searching performance. xdb engine implementation for many programming languages"
JessYanCoding/AndroidAutoSize,12853,🔥 A low-cost Android screen adaptation solution (今日头条屏幕适配方案终极版，一个极低成本的 Android 屏幕适配方案).
alibaba/DataX,12842,DataX是阿里云DataWorks数据集成的开源版本。
deeplearning4j/deeplearning4j,12770,"Suite of tools for deploying and training deep learning models using the JVM. Highlights include model import for keras, tensorflow, and onnx/pytorch, a modular and tiny c++ library for running math code and a java based math library on top of the core c++ library. Also includes samediff: a pytorch/tensorflow like library for running deep learning using automatic differentiation."
pinpoint-apm/pinpoint,12621,"APM, (Application Performance Management) tool for large-scale distributed systems. "
facebook/stetho,12618,"Stetho is a debug bridge for Android applications, enabling the powerful Chrome Developer Tools and much more."
greenrobot/greenDAO,12563,greenDAO is a light & fast ORM solution for Android that maps objects to SQLite databases.
GoogleContainerTools/jib,12533,🏗 Build container images for your Java applications.
Grasscutters/Grasscutter,12531,A server software reimplementation for a certain anime game.
Netflix/zuul,12428,"Zuul is a gateway service that provides dynamic routing, monitoring, resiliency, security, and more."
apache/druid,12393,Apache Druid: a high performance real-time analytics database.
zhihu/Matisse,12377,:fireworks: A well-designed local image and video selector for Android
seaswalker/spring-analysis,12332,Spring源码阅读
apache/pulsar,12311,Apache Pulsar - distributed pub-sub messaging system
youth5201314/banner,12291,🔥🔥🔥Banner 2.0 来了！Android广告图片轮播控件，内部基于ViewPager2实现，Indicator和UI都可以自定义。
daimajia/AndroidSwipeLayout,12272,The Most Powerful Swipe Layout!
daimajia/AndroidViewAnimations,12229,Cute view animation collection.
LuckSiege/PictureSelector,12209,Picture Selector Library for Android or 图片选择器
java-decompiler/jd-gui,12155,A standalone Java Decompiler GUI
sqshq/piggymetrics,12150,"Microservice Architecture with Spring Boot, Spring Cloud and Docker"
projectlombok/lombok,11776,Very spicy additions to the Java programming language.
google/guice,11773,"Guice (pronounced 'juice') is a lightweight dependency injection framework for Java 8 and above, brought to you by Google."
macrozheng/mall-learning,11746,mall学习教程，架构、业务、技术要点全方位解析。mall项目（50k+star）是一套电商系统，使用现阶段主流技术实现。涵盖了SpringBoot 2.3.0、MyBatis 3.4.6、Elasticsearch 7.6.2、RabbitMQ 3.7.15、Redis 5.0、MongoDB 4.2.5、Mysql5.7等技术，采用Docker容器化部署。
Netflix/eureka,11682,AWS Service registry for resilient mid-tier load balancing and failover.
Tencent/VasSonic,11636,"VasSonic is a lightweight and high-performance Hybrid framework developed by tencent VAS team, which is intended to speed up the first screen of websites working on Android and iOS platform. "
dromara/Sa-Token,11551,这可能是史上功能最全的Java权限认证框架！目前已集成——登录认证、权限认证、分布式Session会话、微服务网关鉴权、单点登录、OAuth2.0、踢人下线、Redis集成、前后台分离、记住我模式、模拟他人账号、临时身份切换、账号封禁、多账号认证体系、注解式鉴权、路由拦截式鉴权、花式token生成、自动续签、同端互斥登录、会话治理、密码加密、jwt集成、Spring集成、WebFlux集成...
pagehelper/Mybatis-PageHelper,11542,Mybatis通用分页插件
codecentric/spring-boot-admin,11504,Admin UI for administration of spring boot applications
Yalantis/uCrop,11426,Image Cropping Library for Android
doocs/source-code-hunter,11410,😱 从源码层面，剖析挖掘互联网行业主流技术的底层实现原理，为广大开发者 “提升技术深度” 提供便利。目前开放 Spring 全家桶，Mybatis、Netty、Dubbo 框架，及 Redis、Tomcat 中间件等
quarkusio/quarkus,11370,Quarkus: Supersonic Subatomic Java. 
realm/realm-java,11358,Realm is a mobile database: a replacement for SQLite & ORMs
androidannotations/androidannotations,11136,Fast Android Development. Easy maintainance.
jfeinstein10/SlidingMenu,11135,An Android library that allows you to easily create applications with slide-in menus. You may use it in your Android apps provided that you cite this project and include the license in your app. Thanks!
permissions-dispatcher/PermissionsDispatcher,11097,A declarative API to handle Android runtime permissions.
neo4j/neo4j,11067,Graphs for Everyone
apache/zookeeper,11060,Apache ZooKeeper
frank-lam/fullstack-tutorial,10972,🚀 fullstack tutorial 2022，后台技术栈/架构师之路/全栈开发社区，春招/秋招/校招/面试
janishar/mit-deep-learning-book-pdf,10912,"MIT Deep Learning Book in PDF format (complete and parts) by Ian Goodfellow, Yoshua Bengio and Aaron Courville"
redis/jedis,10910,Redis Java client designed for performance and ease of use.
alibaba/vlayout,10837,"Project vlayout is a powerfull LayoutManager extension for RecyclerView, it provides a group of layouts for RecyclerView. Make it able to handle a complicate situation when grid, list and other layouts in the same recyclerview. "
theonedev/onedev,10803,Self-hosted Git Server with CI/CD and Kanban
H07000223/FlycoTabLayout,10797,An Android TabLayout Lib
DuGuQiuBai/Java,10742,27天成为Java大神
lingochamp/FileDownloader,10737,Multitask、MultiThread(MultiConnection)、Breakpoint-resume、High-concurrency、Simple to use、Single/NotSingle-process
code4craft/webmagic,10713,A scalable web crawler framework for Java.
mission-peace/interview,10679,Interview questions
gyf-dev/ImmersionBar,10677,android 4.4以上沉浸式状态栏和沉浸式导航栏管理，适配横竖屏切换、刘海屏、软键盘弹出等问题，可以修改状态栏字体颜色和导航栏图标颜色，以及不可修改字体颜色手机的适配，适用于Activity、Fragment、DialogFragment、Dialog，PopupWindow，一句代码轻松实现，以及对bar的其他设置，详见README。简书请参考：http://www.jianshu.com/p/2a884e211a62
kunal-kushwaha/DSA-Bootcamp-Java,10674,"This repository consists of the code samples, assignments, and notes for the Java Data Structures & Algorithms bootcamp of Community Classroom."
android-async-http/android-async-http,10650,This project under develop
pxb1988/dex2jar,10618,Tools to work with android .dex and java .class files
careercup/CtCI-6th-Edition,10510,Cracking the Coding Interview 6th Ed. Solutions
jeasonlzy/okhttp-OkGo,10501,OkGo - 3.0 震撼来袭，该库是基于 Http 协议，封装了 OkHttp 的网络请求框架，比 Retrofit 更简单易用，支持 RxJava，RxJava2，支持自定义缓存，支持批量断点下载管理和批量上传管理功能
zaproxy/zaproxy,10496,The OWASP ZAP core project
lipangit/JiaoZiVideoPlayer,10439,MediaPlayer exoplayer ijkplayer ffmpeg
tbruyelle/RxPermissions,10423,Android runtime permissions powered by RxJava2
daniulive/SmarterStreaming,10374,业内为数不多致力于极致体验的超强全自研跨平台(windows/linux/android/iOS)流媒体内核，通过模块化自由组合，支持实时RTMP推流、RTSP推流、RTMP播放器、RTSP播放器、录像、多路流媒体转发、音视频导播、动态视频合成、音频混音、直播互动、内置轻量级RTSP服务等，比快更快，业界真正靠谱的超低延迟直播SDK(1秒内，低延迟模式下200~400ms)。
grpc/grpc-java,10351,The Java gRPC implementation. HTTP/2 based RPC
chefyuan/algorithm-base,10323,一位酷爱做饭的程序员，立志用动画将算法说的通俗易懂。我的面试网站 www.chengxuchu.com
aosp-mirror/platform_frameworks_base,10306,
JessYanCoding/MVPArms,10196,"⚔️ A common architecture for Android applications developing based on MVP, integrates many open source projects, to make your developing quicker and easier (一个整合了大量主流开源项目高度可配置化的 Android MVP 快速集成框架). "
JakeWharton/ViewPagerIndicator,10195,Paging indicator widgets compatible with the ViewPager from the Android Support Library and ActionBarSherlock.
questdb/questdb,10115,An open source time-series database for fast ingest and SQL queries
square/javapoet,10054,A Java API for generating .java source files.
google/auto,10018,A collection of source code generators for Java.
